business_id,business_type,date,source_category,activity,amount,unit,emission_factor,emissions_kgCO2e,scope
B0001,Bakery,2024-10,waste,food_landfill,88.99,kg,1.4,124.58599999999998,Scope 3
B0001,Bakery,2024-10,waste,plastic_landfill,93.68,kg,2.5,234.2,Scope 3
B0001,Bakery,2024-10,waste,paper_landfill,56.98,kg,1.0,56.98,Scope 3
B0001,Bakery,2024-10,transport,car_petrol,74.8,km,0.225,16.83,Scope 3
B0001,Bakery,2024-10,transport,bus,1899.8,passenger-km,0.09,170.982,Scope 3
B0001,Bakery,2024-10,transport,car_diesel,253.8,km,0.201,51.0138,Scope 3
B0001,Bakery,2024-10-01,water,water_supply,108.0,m3,0.344,37.152,Scope 3
B0001,Bakery,2024-10-01,water,wastewater_unmanaged,75.6,m3,0.708,53.5248,Scope 3
B0001,Bakery,2024-11,electricity,electricity_consumption,165.0,kWh,0.359,59.235,Scope 2
B0001,Bakery,2024-11,waste,food_landfill,58.85,kg,1.4,82.39,Scope 3
B0001,Bakery,2024-11,waste,plastic_recycling,19.29,kg,-0.4,-7.716,Scope 3
B0001,Bakery,2024-11,waste,paper_recycling,81.67,kg,-0.4,-32.668,Scope 3
B0001,Bakery,2024-11,transport,delivery_van,167.1,km,0.315,52.6365,Scope 3
B0001,Bakery,2024-11,transport,car_petrol,223.3,km,0.225,50.24250000000001,Scope 3
B0001,Bakery,2024-11,transport,motorbike,187.2,km,0.112,20.9664,Scope 3
B0001,Bakery,2024-11-01,water,water_supply,140.0,m3,0.344,48.16,Scope 3
B0001,Bakery,2024-11-01,water,wastewater_unmanaged,98.0,m3,0.708,69.384,Scope 3
B0001,Bakery,2024-12,electricity,electricity_consumption,205.0,kWh,0.359,73.595,Scope 2
B0001,Bakery,2024-12,waste,food_landfill,69.15,kg,1.4,96.81,Scope 3
B0001,Bakery,2024-12,waste,plastic_recycling,60.11,kg,-0.4,-24.044,Scope 3
B0001,Bakery,2024-12,waste,paper_landfill,95.29,kg,1.0,95.29,Scope 3
B0001,Bakery,2024-12,transport,bus,681.2,passenger-km,0.09,61.308,Scope 3
B0001,Bakery,2024-12,transport,delivery_van,237.2,km,0.315,74.718,Scope 3
B0001,Bakery,2024-12,transport,car_petrol,54.8,km,0.225,12.33,Scope 3
B0001,Bakery,2024-12-01,water,water_supply,143.0,m3,0.344,49.192,Scope 3
B0001,Bakery,2024-12-01,water,wastewater_unmanaged,100.1,m3,0.708,70.8708,Scope 3
B0002,Bakery,2024-01,electricity,electricity_consumption,469.0,kWh,0.359,168.371,Scope 2
B0002,Restaurant,2024-01,waste,food_landfill,12.56,kg,1.4,17.584,Scope 3
B0002,Restaurant,2024-01,waste,plastic_landfill,42.02,kg,2.5,105.05,Scope 3
B0002,Restaurant,2024-01,waste,paper_landfill,52.61,kg,1.0,52.61,Scope 3
B0002,Restaurant,2024-01,transport,motorbike,133.6,km,0.112,14.9632,Scope 3
B0002,Restaurant,2024-01,transport,car_diesel,250.0,km,0.201,50.25,Scope 3
B0002,Restaurant,2024-01,transport,car_petrol,61.1,km,0.225,13.7475,Scope 3
B0002,Restaurant,2024-01,commute,bus,10500.0,passenger-km,0.09,945.0,Scope 3
B0002,Restaurant,2024-01-01,water,water_supply,348.0,m3,0.344,119.712,Scope 3
B0002,Restaurant,2024-01-01,water,wastewater_centralized,233.16000000000005,m3,0.272,63.41952000000001,Scope 3
B0002,Bakery,2024-02,electricity,electricity_consumption,483.0,kWh,0.359,173.397,Scope 2
B0002,Restaurant,2024-02,waste,food_composting,90.3,kg,0.2,18.06,Scope 3
B0002,Restaurant,2024-02,waste,plastic_recycling,97.64,kg,-0.4,-39.056,Scope 3
B0002,Restaurant,2024-02,waste,paper_recycling,78.19,kg,-0.4,-31.276,Scope 3
B0002,Restaurant,2024-02,transport,delivery_van,17.9,km,0.315,5.6385,Scope 3
B0002,Restaurant,2024-02,transport,bus,3318.0,passenger-km,0.09,298.62,Scope 3
B0002,Restaurant,2024-02,transport,motorbike,37.0,km,0.112,4.144,Scope 3
B0002,Restaurant,2024-02,business_travel,flight,600.0,passenger-km,0.15,90.0,Scope 3
B0002,Restaurant,2024-02-01,water,water_supply,314.0,m3,0.344,108.016,Scope 3
B0002,Restaurant,2024-02-01,water,wastewater_centralized,210.38,m3,0.272,57.223360000000014,Scope 3
B0002,Bakery,2024-03,electricity,electricity_consumption,270.0,kWh,0.359,96.93,Scope 2
B0002,Restaurant,2024-03,waste,food_landfill,38.4,kg,1.4,53.76,Scope 3
B0002,Restaurant,2024-03,waste,plastic_recycling,14.61,kg,-0.4,-5.844,Scope 3
B0002,Restaurant,2024-03,waste,paper_landfill,95.17,kg,1.0,95.17,Scope 3
B0002,Restaurant,2024-03,transport,car_diesel,170.8,km,0.201,34.3308,Scope 3
B0002,Restaurant,2024-03,transport,motorbike,208.7,km,0.112,23.3744,Scope 3
B0002,Restaurant,2024-03,transport,car_petrol,36.6,km,0.225,8.235000000000001,Scope 3
B0002,Restaurant,2024-03-01,water,water_supply,303.0,m3,0.344,104.232,Scope 3
B0002,Restaurant,2024-03-01,water,wastewater_centralized,203.01,m3,0.272,55.21872000000001,Scope 3
B0002,Bakery,2024-04,electricity,electricity_consumption,481.0,kWh,0.359,172.679,Scope 2
B0002,Restaurant,2024-04,waste,food_composting,50.46,kg,0.2,10.092,Scope 3
B0002,Restaurant,2024-04,waste,plastic_recycling,82.88,kg,-0.4,-33.152,Scope 3
B0002,Restaurant,2024-04,waste,paper_recycling,42.77,kg,-0.4,-17.108,Scope 3
B0002,Restaurant,2024-04,transport,car_petrol,69.5,km,0.225,15.6375,Scope 3
B0002,Restaurant,2024-04,transport,delivery_van,68.7,km,0.315,21.6405,Scope 3
B0002,Restaurant,2024-04,transport,motorbike,238.4,km,0.112,26.7008,Scope 3
B0002,Restaurant,2024-04,transport,car_diesel,60.4,km,0.201,12.1404,Scope 3
B0002,Restaurant,2024-04-01,water,water_supply,289.0,m3,0.344,99.416,Scope 3
B0002,Restaurant,2024-04-01,water,wastewater_centralized,193.63,m3,0.272,52.66736000000001,Scope 3
B0002,Bakery,2024-05,electricity,electricity_consumption,575.0,kWh,0.359,206.425,Scope 2
B0002,Restaurant,2024-05,waste,food_composting,13.03,kg,0.2,2.606,Scope 3
B0002,Restaurant,2024-05,waste,plastic_recycling,95.21,kg,-0.4,-38.084,Scope 3
B0002,Restaurant,2024-05,waste,paper_landfill,90.94,kg,1.0,90.94,Scope 3
B0002,Restaurant,2024-05,transport,delivery_van,23.1,km,0.315,7.2765,Scope 3
B0002,Restaurant,2024-05,transport,car_diesel,251.9,km,0.201,50.6319,Scope 3
B0002,Restaurant,2024-05-01,water,water_supply,296.0,m3,0.344,101.824,Scope 3
B0002,Restaurant,2024-05-01,water,wastewater_centralized,198.32,m3,0.272,53.94304000000001,Scope 3
B0002,Bakery,2024-06,electricity,electricity_consumption,311.0,kWh,0.359,111.649,Scope 2
B0002,Restaurant,2024-06,waste,food_composting,55.49,kg,0.2,11.098,Scope 3
B0002,Restaurant,2024-06,waste,plastic_landfill,42.85,kg,2.5,107.125,Scope 3
B0002,Restaurant,2024-06,waste,paper_landfill,86.18,kg,1.0,86.18,Scope 3
B0002,Restaurant,2024-06,transport,bus,2281.2,passenger-km,0.09,205.308,Scope 3
B0002,Restaurant,2024-06,transport,car_diesel,252.1,km,0.201,50.6721,Scope 3
B0002,Restaurant,2024-06-01,water,water_supply,314.0,m3,0.344,108.016,Scope 3
B0002,Restaurant,2024-06-01,water,wastewater_centralized,210.38,m3,0.272,57.223360000000014,Scope 3
B0002,Bakery,2024-07,electricity,electricity_consumption,243.0,kWh,0.359,87.237,Scope 2
B0002,Restaurant,2024-07,waste,food_composting,64.21,kg,0.2,12.842,Scope 3
B0002,Restaurant,2024-07,waste,plastic_landfill,12.26,kg,2.5,30.65,Scope 3
B0002,Restaurant,2024-07,waste,paper_recycling,64.62,kg,-0.4,-25.848000000000003,Scope 3
B0002,Restaurant,2024-07,transport,bus,3313.5,passenger-km,0.09,298.215,Scope 3
B0002,Restaurant,2024-07,transport,car_petrol,281.7,km,0.225,63.3825,Scope 3
B0002,Restaurant,2024-07,transport,delivery_van,199.8,km,0.315,62.937000000000005,Scope 3
B0002,Restaurant,2024-07-01,water,water_supply,288.0,m3,0.344,99.072,Scope 3
B0002,Restaurant,2024-07-01,water,wastewater_centralized,192.96,m3,0.272,52.48512000000001,Scope 3
B0002,Bakery,2024-08,electricity,electricity_consumption,197.0,kWh,0.359,70.723,Scope 2
B0002,Restaurant,2024-08,waste,food_composting,35.27,kg,0.2,7.054000000000001,Scope 3
B0002,Restaurant,2024-08,waste,plastic_landfill,26.87,kg,2.5,67.175,Scope 3
B0002,Restaurant,2024-08,waste,paper_recycling,17.81,kg,-0.4,-7.124,Scope 3
B0002,Restaurant,2024-08,transport,car_petrol,284.7,km,0.225,64.0575,Scope 3
B0002,Restaurant,2024-08,transport,bus,262.7,passenger-km,0.09,23.643,Scope 3
B0002,Restaurant,2024-08-01,water,water_supply,318.0,m3,0.344,109.392,Scope 3
B0002,Restaurant,2024-08-01,water,wastewater_centralized,213.06,m3,0.272,57.95232000000001,Scope 3
B0002,Bakery,2024-09,electricity,electricity_consumption,359.0,kWh,0.359,128.881,Scope 2
B0002,Restaurant,2024-09,waste,food_composting,86.26,kg,0.2,17.252000000000002,Scope 3
B0002,Restaurant,2024-09,waste,plastic_landfill,40.86,kg,2.5,102.15,Scope 3
B0002,Restaurant,2024-09,waste,paper_recycling,47.62,kg,-0.4,-19.048,Scope 3
B0002,Restaurant,2024-09,transport,motorbike,34.4,km,0.112,3.8528,Scope 3
B0002,Restaurant,2024-09,transport,car_diesel,107.9,km,0.201,21.687900000000003,Scope 3
B0002,Restaurant,2024-09,transport,car_petrol,76.9,km,0.225,17.302500000000002,Scope 3
B0002,Restaurant,2024-09,transport,delivery_van,273.6,km,0.315,86.18400000000001,Scope 3
B0002,Restaurant,2024-09-01,water,water_supply,251.0,m3,0.344,86.344,Scope 3
B0002,Restaurant,2024-09-01,water,wastewater_centralized,168.17000000000002,m3,0.272,45.74224000000001,Scope 3
B0002,Bakery,2024-10,electricity,electricity_consumption,421.0,kWh,0.359,151.139,Scope 2
B0002,Restaurant,2024-10,waste,food_composting,90.51,kg,0.2,18.102,Scope 3
B0002,Restaurant,2024-10,waste,plastic_landfill,67.4,kg,2.5,168.5,Scope 3
B0002,Restaurant,2024-10,waste,paper_landfill,66.29,kg,1.0,66.29,Scope 3
B0002,Restaurant,2024-10,transport,car_petrol,201.5,km,0.225,45.3375,Scope 3
B0002,Restaurant,2024-10,transport,car_diesel,232.0,km,0.201,46.632000000000005,Scope 3
B0002,Restaurant,2024-10-01,water,water_supply,286.0,m3,0.344,98.384,Scope 3
B0002,Restaurant,2024-10-01,water,wastewater_centralized,191.62,m3,0.272,52.12064,Scope 3
B0002,Bakery,2024-11,electricity,electricity_consumption,289.0,kWh,0.359,103.751,Scope 2
B0002,Restaurant,2024-11,waste,food_composting,69.42,kg,0.2,13.884,Scope 3
B0002,Restaurant,2024-11,waste,plastic_landfill,14.91,kg,2.5,37.275,Scope 3
B0002,Restaurant,2024-11,waste,paper_landfill,27.52,kg,1.0,27.52,Scope 3
B0002,Restaurant,2024-11,transport,motorbike,155.7,km,0.112,17.438399999999998,Scope 3
B0002,Restaurant,2024-11,transport,car_diesel,267.7,km,0.201,53.8077,Scope 3
B0002,Restaurant,2024-11,transport,car_petrol,234.2,km,0.225,52.695,Scope 3
B0002,Restaurant,2024-11,transport,delivery_van,189.6,km,0.315,59.724,Scope 3
B0002,Restaurant,2024-11-01,water,water_supply,324.0,m3,0.344,111.456,Scope 3
B0002,Restaurant,2024-11-01,water,wastewater_centralized,217.08,m3,0.272,59.04576000000001,Scope 3
B0002,Bakery,2024-12,electricity,electricity_consumption,645.0,kWh,0.359,231.555,Scope 2
B0002,Restaurant,2024-12,waste,food_landfill,35.52,kg,1.4,49.728,Scope 3
B0002,Restaurant,2024-12,waste,plastic_recycling,40.44,kg,-0.4,-16.176,Scope 3
B0002,Restaurant,2024-12,waste,paper_landfill,18.54,kg,1.0,18.54,Scope 3
B0002,Restaurant,2024-12,transport,car_diesel,275.2,km,0.201,55.3152,Scope 3
B0002,Restaurant,2024-12,transport,delivery_van,262.1,km,0.315,82.56150000000001,Scope 3
B0002,Restaurant,2024-12,transport,motorbike,242.0,km,0.112,27.104,Scope 3
B0002,Restaurant,2024-12-01,water,water_supply,256.0,m3,0.344,88.064,Scope 3
B0002,Restaurant,2024-12-01,water,wastewater_centralized,171.52,m3,0.272,46.65344,Scope 3
B0003,Bakery,2024-01,electricity,electricity_consumption,320.0,kWh,0.359,114.88,Scope 2
B0003,Supermarket,2024-01,waste,food_landfill,64.57,kg,1.4,90.39799999999998,Scope 3
B0003,Supermarket,2024-01,waste,plastic_landfill,33.44,kg,2.5,83.6,Scope 3
B0003,Supermarket,2024-01,waste,paper_recycling,37.39,kg,-0.4,-14.956,Scope 3
B0003,Supermarket,2024-01,transport,car_diesel,152.6,km,0.201,30.6726,Scope 3
B0003,Supermarket,2024-01,business_travel,car,200.0,passenger-km,0.225,45.0,Scope 3
B0003,Supermarket,2024-01,commute,car_petrol,5400.0,km,0.225,1215.0,Scope 3
B0003,Supermarket,2024-01,commute,bus,7600.0,passenger-km,0.09,684.0,Scope 3
B0003,Supermarket,2024-01,commute,delivery_van,4200.0,km,0.315,1323.0,Scope 3
B0003,Supermarket,2024-01-01,water,water_supply,517.0,m3,0.344,177.848,Scope 3
B0003,Supermarket,2024-01-01,water,wastewater_unmanaged,387.75,m3,0.708,274.527,Scope 3
B0003,Bakery,2024-02,electricity,electricity_consumption,387.0,kWh,0.359,138.933,Scope 2
B0003,Supermarket,2024-02,waste,food_composting,61.65,kg,0.2,12.33,Scope 3
B0003,Supermarket,2024-02,waste,plastic_recycling,14.64,kg,-0.4,-5.856000000000001,Scope 3
B0003,Supermarket,2024-02,waste,paper_landfill,58.91,kg,1.0,58.91,Scope 3
B0003,Supermarket,2024-02,transport,bus,4187.400000000001,passenger-km,0.09,376.866,Scope 3
B0003,Supermarket,2024-02,transport,motorbike,59.8,km,0.112,6.6976,Scope 3
B0003,Supermarket,2024-02,transport,car_diesel,72.0,km,0.201,14.472,Scope 3
B0003,Supermarket,2024-02,transport,delivery_van,291.8,km,0.315,91.917,Scope 3
B0003,Supermarket,2024-02-01,water,water_supply,424.0,m3,0.344,145.856,Scope 3
B0003,Supermarket,2024-02-01,water,wastewater_unmanaged,318.0,m3,0.708,225.144,Scope 3
B0003,Bakery,2024-03,electricity,electricity_consumption,303.0,kWh,0.359,108.777,Scope 2
B0003,Supermarket,2024-03,waste,food_composting,71.58,kg,0.2,14.316,Scope 3
B0003,Supermarket,2024-03,waste,plastic_landfill,52.26,kg,2.5,130.65,Scope 3
B0003,Supermarket,2024-03,waste,paper_recycling,33.15,kg,-0.4,-13.26,Scope 3
B0003,Supermarket,2024-03,transport,motorbike,170.7,km,0.112,19.1184,Scope 3
B0003,Supermarket,2024-03,transport,bus,1864.8,passenger-km,0.09,167.832,Scope 3
B0003,Supermarket,2024-03,transport,car_petrol,40.1,km,0.225,9.0225,Scope 3
B0003,Supermarket,2024-03-01,water,water_supply,454.0,m3,0.344,156.176,Scope 3
B0003,Supermarket,2024-03-01,water,wastewater_unmanaged,340.5,m3,0.708,241.074,Scope 3
B0003,Bakery,2024-04,electricity,electricity_consumption,658.0,kWh,0.359,236.222,Scope 2
B0003,Supermarket,2024-04,waste,food_landfill,19.7,kg,1.4,27.58,Scope 3
B0003,Supermarket,2024-04,waste,plastic_landfill,98.0,kg,2.5,245.0,Scope 3
B0003,Supermarket,2024-04,waste,paper_recycling,10.37,kg,-0.4,-4.148,Scope 3
B0003,Supermarket,2024-04,transport,delivery_van,233.2,km,0.315,73.458,Scope 3
B0003,Supermarket,2024-04,transport,car_petrol,158.7,km,0.225,35.7075,Scope 3
B0003,Supermarket,2024-04-01,water,water_supply,522.0,m3,0.344,179.568,Scope 3
B0003,Supermarket,2024-04-01,water,wastewater_unmanaged,391.5,m3,0.708,277.182,Scope 3
B0003,Bakery,2024-05,electricity,electricity_consumption,441.0,kWh,0.359,158.319,Scope 2
B0003,Supermarket,2024-05,waste,food_landfill,41.02,kg,1.4,57.428,Scope 3
B0003,Supermarket,2024-05,waste,plastic_recycling,11.62,kg,-0.4,-4.648,Scope 3
B0003,Supermarket,2024-05,waste,paper_landfill,10.52,kg,1.0,10.52,Scope 3
B0003,Supermarket,2024-05,transport,bus,3663.8,passenger-km,0.09,329.742,Scope 3
B0003,Supermarket,2024-05-01,water,water_supply,409.0,m3,0.344,140.696,Scope 3
B0003,Supermarket,2024-05-01,water,wastewater_unmanaged,306.75,m3,0.708,217.179,Scope 3
B0003,Bakery,2024-06,electricity,electricity_consumption,129.0,kWh,0.359,46.311,Scope 2
B0003,Supermarket,2024-06,waste,food_landfill,34.52,kg,1.4,48.328,Scope 3
B0003,Supermarket,2024-06,waste,plastic_recycling,68.9,kg,-0.4,-27.56,Scope 3
B0003,Supermarket,2024-06,waste,paper_recycling,63.7,kg,-0.4,-25.480000000000004,Scope 3
B0003,Supermarket,2024-06,transport,motorbike,274.6,km,0.112,30.7552,Scope 3
B0003,Supermarket,2024-06,transport,delivery_van,33.8,km,0.315,10.646999999999998,Scope 3
B0003,Supermarket,2024-06-01,water,water_supply,443.0,m3,0.344,152.392,Scope 3
B0003,Supermarket,2024-06-01,water,wastewater_unmanaged,332.25,m3,0.708,235.233,Scope 3
B0003,Bakery,2024-07,electricity,electricity_consumption,702.0,kWh,0.359,252.018,Scope 2
B0003,Supermarket,2024-07,waste,food_landfill,71.72,kg,1.4,100.408,Scope 3
B0003,Supermarket,2024-07,waste,plastic_landfill,56.27,kg,2.5,140.675,Scope 3
B0003,Supermarket,2024-07,waste,paper_recycling,85.47,kg,-0.4,-34.188,Scope 3
B0003,Supermarket,2024-07,transport,car_petrol,278.9,km,0.225,62.7525,Scope 3
B0003,Supermarket,2024-07,transport,motorbike,242.2,km,0.112,27.1264,Scope 3
B0003,Supermarket,2024-07,transport,delivery_van,169.7,km,0.315,53.4555,Scope 3
B0003,Supermarket,2024-07-01,water,water_supply,460.0,m3,0.344,158.24,Scope 3
B0003,Supermarket,2024-07-01,water,wastewater_unmanaged,345.0,m3,0.708,244.26,Scope 3
B0003,Bakery,2024-08,electricity,electricity_consumption,164.0,kWh,0.359,58.876,Scope 2
B0003,Supermarket,2024-08,waste,food_composting,94.78,kg,0.2,18.956,Scope 3
B0003,Supermarket,2024-08,waste,plastic_landfill,29.04,kg,2.5,72.6,Scope 3
B0003,Supermarket,2024-08,waste,paper_landfill,19.62,kg,1.0,19.62,Scope 3
B0003,Supermarket,2024-08,transport,car_petrol,255.2,km,0.225,57.42,Scope 3
B0003,Supermarket,2024-08,transport,car_diesel,98.4,km,0.201,19.7784,Scope 3
B0003,Supermarket,2024-08-01,water,water_supply,428.0,m3,0.344,147.232,Scope 3
B0003,Supermarket,2024-08-01,water,wastewater_unmanaged,321.0,m3,0.708,227.268,Scope 3
B0003,Bakery,2024-09,electricity,electricity_consumption,819.0,kWh,0.359,294.021,Scope 2
B0003,Supermarket,2024-09,waste,food_composting,94.5,kg,0.2,18.9,Scope 3
B0003,Supermarket,2024-09,waste,plastic_recycling,65.87,kg,-0.4,-26.348000000000003,Scope 3
B0003,Supermarket,2024-09,waste,paper_recycling,80.78,kg,-0.4,-32.312000000000005,Scope 3
B0003,Supermarket,2024-09,transport,delivery_van,154.3,km,0.315,48.6045,Scope 3
B0003,Supermarket,2024-09,transport,bus,970.2,passenger-km,0.09,87.318,Scope 3
B0003,Supermarket,2024-09-01,water,water_supply,448.0,m3,0.344,154.112,Scope 3
B0003,Supermarket,2024-09-01,water,wastewater_unmanaged,336.0,m3,0.708,237.888,Scope 3
B0003,Bakery,2024-10,electricity,electricity_consumption,524.0,kWh,0.359,188.116,Scope 2
B0003,Supermarket,2024-10,waste,food_composting,42.05,kg,0.2,8.41,Scope 3
